licence_num,facility_name,address,address2,city,province,postal_code,phone,licensee_name,services,assess_date,action_date,action_comment
,Dr. Joseph J.K. Ma Medicine Professional Corporation,162 Willowdale Avenue,,North York,ON,M2N4Y6,416-970-8328,Dr. Joseph J.K. Ma Medicine Professional Corporation , Ophthalmic Ultrasound,2020-06-10,2020-10-15,Met standards.
,Universal Sleep Disorder Clinic,2888 Bathurst Street,2 Floor,North York,ON,M6B4H6,416-256-0600,Universal Sleep Disorder Clinic Inc. , Sleep Studies,2020-08-21,2021-01-20,Met standards.
,Jane Centre X-Ray & Ultrasound,2780 Jane Street,Unit LL9,North York,ON,M3N2J2,416-745-1664,EFES Management Limited ," Radiography, General Ultrasound",2019-12-11,2020-05-19,Met standards.
,Lighthouse Medical Imaging - Fairview,5 Fairview Mall Drive,Suite 100,North York,ON,M2J2Z1,416-499-3559,GTA East Medical Imaging Corp. , Vascular Ultrasound,2020-09-10,2020-10-16,Met standards.
,Northwest Imaging Associates,960 Lawrence Avenue West,Suite 203,North York,ON,M6A3B5,416-781-2050,2352898 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2021-03-04,2021-05-04,Met standards.
,MCF Reproductive & Ultrasound Services,2888 Bathurst Street,Unit 100,North York,ON,M6B4H6,416-222-4602,2693333 Ontario Inc. , General Ultrasound,2021-11-10,2022-06-02,Met standards.
,Bayview Pulmonary Services Inc.,240 Duncan Mill Road,Unit 404,North York,ON,M3B3S6,647-430-7191,Bayview Pulmonary Services Inc. , Pulmonary Function B - Lung Volumes & Diffusion,2021-12-01,2022-06-02,Met standards.
,Northwest Imaging Associates,960 Lawrence Avenue West,Suite 203,North York,ON,M6A3B5,416-781-2050,2456462 Ontario Limited ," Radiography, Vascular Ultrasound",2021-03-04,2021-04-30,Met standards.
,Sleep Diagnostics Centre,1333 Sheppard Avenue East,Suite 118,North York,ON,M2J1V1,416-218-8770,Linde Canada Inc. , Sleep Studies,2022-02-04,2022-07-06,Met standards.
,North York Pulmonary Function Center,2 Champagne Drive,Unit B21,North York,ON,M3J2C5,416-636-6664,North York Pulmonary Function Center Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2022-04-21,2022-08-18,Met standards.
,Northwest Imaging Associates,2221 Keele Street,Suite 106,North York,ON,M6M3Z5,416-781-2050,2352898 Ontario Inc. ," Fluoroscopy, Radiography, General Ultrasound",2022-03-10,2022-07-08,Met standards.
,One Vascular - North York,1310 Don Mills Road,Suite 5,North York,ON,M3B2W6,416-934-2144,One Vascular Corp. ," Vascular Ultrasound, General Ultrasound",2021-12-10,2021-12-10,Facility has not been assessed during current ownership.
,Don Mills Diagnostic Imaging,1262 Don Mills Road,Suite 206,North York,ON,M3B2W7,416-510-9977,Alpha Diagnostic Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-05-16,2022-10-27,Met standards.
,Downsview Clinic - Cardiology and Ultrasound,906 Sheppard Avenue West,Unit 6,North York,ON,M3H2T5,416-633-0045,Limvex Inc. , General Ultrasound,2022-05-30,2022-11-25,Met standards.
,Ultimate Diagnostics Inc.,298 Sheppard Avenue East,,North York,ON,M2N3B1,416-223-6500,Ultimate Diagnostics Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2022-06-08,2022-09-08,Met standards.
,Ontario Radiology (OR) â North York,491 Lawrence Avenue West,Unit LL2,North York,ON,M5M1C7,416-783-9940,1000101846 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2022-04-28,2022-04-28,Facility has not been assessed during current ownership.
,York Radiology Consultants & The Breast Centre,1333 Sheppard Avenue East,Suite 100,North York,ON,M2J1V1,416-494-8829,York X-Ray Management Limited ," Mammography, Radiography, Bone Mineral DXA",2022-10-04,2023-01-24,Met standards with some recommendations made for improvement.
,York Nuclear Cardiac Imaging,1333 Sheppard Avenue East,Suite 125,North York,ON,M2J1V1,416-494-0030,York X-Ray Management Limited ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2022-09-07,2022-12-12,Met standards.
,York Ultrasound Consultants,1333 Sheppard Avenue East,Suite 100,North York,ON,M2J1V1,416-494-8829,York X-Ray Management Limited ," General Ultrasound, Vascular Ultrasound",2022-10-04,2023-01-25,Met standards.
,Lighthouse Medical Imaging - Sheppard,701 Sheppard Avenue East,Suite 316,North York,ON,M2K2Z3,416-613-8678,GTA East Medical Imaging Corp. , General Ultrasound,2024-02-12,2024-04-22,Met standards.
,Finchview X-Ray & Ultrasound,1315 Finch Avenue West,Suite 114,North York,ON,M3J2G6,416-633-4441,MCH Management Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-11-23,2023-01-26,Met standards.
,Yorkview X-Ray & Ultrasound,3695 Keele Street,Suite 100,North York,ON,M3J1N2,416-631-0007,2479548 Ontario Inc. ," Radiography, General Ultrasound",2022-11-21,2023-02-01,Met standards.
,D.J. Weinstock,206 Sheppard Avenue West,,North York,ON,M2N1N1,416-221-2442,D.J. Weinstock Medicine Professional Corporation , Ophthalmic Ultrasound,2022-04-25,2022-04-25,Facility has not been assessed during current ownership.
,Jane-Shoreham Diagnostic Services,4640 Jane Street,"Basement, Suite B2",North York,ON,M3N2K5,416-661-4441,2412209 Ontario Inc. ," General Ultrasound, Radiography",2023-02-09,2023-05-04,Met standards.
,Anova Fertility & Reproductive Health,25 Sheppard Avenue West,Suite 650,North York,ON,M2N6S6,416-225-4440,9421467 Canada Inc. , General Ultrasound,2023-04-14,2023-05-30,Met standards.
,Yonge Sheppard X-Ray & Ultrasound,4841 Yonge Street,Suite 104,North York,ON,M2N5X2,647-288-1508,Canadian Teleradiology Services Inc. ," Radiography, General Ultrasound",2023-11-01,2023-11-01,Facility has not been assessed during current ownership.
,Bernard X-Ray & Ultrasound,508 Lawrence Avenue West,Unit 25,North York,ON,M6A1A1,416-787-0229,J.B.V. Management Services Ltd. ," Bone Mineral DXA, Radiography, General Ultrasound",2023-06-06,2023-08-30,Met standards.
,Dixie X-Ray Associates - Oakdale,2065 Finch Avenue West,Suite B-1,North York,ON,M3N2V7,416-745-8050,Dixie X-Ray Associates Limited ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound, Mammography",2023-06-27,2023-10-04,Met standards.
,Toronto Sleep Clinic,5 Fairview Mall Drive,Suite 412,North York,ON,M2J2Z1,416-299-0400,Metro Health Network Inc. , Sleep Studies,2023-11-05,2023-12-11,Met standards.
,York Radiology and Ultrasound Consultants,1100 Sheppard Avenue East,Suite 103,North York,ON,M2K2W1,416-223-4884,York X-Ray Management Limited ," Radiography, General Ultrasound, Vascular Ultrasound",2023-10-13,2024-01-29,Met standards.
,Dixie X-Ray Associates - Oakdale,2065 Finch Avenue West,Suite B01,North York,ON,M3N2V7,416-745-8050,Dixie X-Ray Associates Limited ," Bone Mineral DXA, Radiography, General Ultrasound",2024-02-06,2024-03-22,Met standards with some recommendations made for improvement.
,York X-Ray Management Limited,3292 Bayview Avenue,Suites 206 & 207,North York,ON,M2M4J5,647-427-0195,York X-Ray Management Limited ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2023-12-04,2024-03-01,Met standards.
,Victoria Terrace X-Ray & Ultrasound,1448 Lawrence Avenue East,Suite 209,North York,ON,M4A2V6,416-750-4555,Insight Diagnostic Imaging Corp. ," Bone Mineral DXA, Radiography, General Ultrasound",2023-09-14,2023-11-23,Met standards.
,Appleton Clinic Sleep Centre,845 Wilson Avenue,Suite 301,North York,ON,M3K1E6,416-635-0909,2071667 Ontario Inc. , Sleep Studies,2023-08-17,2023-11-22,Met standards.
,Malvern Ultrasound & Mammography,18 Wynford Drive,Suite 507,North York,ON,M3C3S2,416-449-8289,Insight Diagnostic Imaging Corp. ," Mammography, General Ultrasound",2023-09-14,2023-11-27,Met standards.
,Toronto Lung Care Clinic,1110 Sheppard Avenue East,Suite 204,North York,ON,M2K2W2,416-229-2315,Metro Health Network Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2023-07-24,2023-10-10,Met standards.
,Finch Weston X-Ray & Ultrasound,2100 Finch Avenue West,Unit 212,North York,ON,M3N2Z9,416-644-0347,2134579 Ontario Inc. ," Radiography, General Ultrasound",2024-01-25,2024-02-27,Met standards.
,Victoria X-Ray Ultrasound,1252 Lawrence Avenue East,Unit 201,North York,ON,M3A1C3,416-335-0323,2347225 Ontario Inc. ," Radiography, General Ultrasound",2024-11-17,2024-02-08,Met standards.
,Bathurst Lawrence Nuclear Imaging,491 Lawrence Avenue West,Suite 501,North York,ON,M5M1C7,416-781-9500,Specialty Medical Partners (Midtown) Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-04-01,2024-04-01,Facility has not been assessed during current ownership.
,North Toronto Eye Care Inc.,2065 Finch Avenue West,Suite 400,North York,ON,M3N2V7,416-748-2020,North Toronto Eye Care Inc. , Ophthalmic Ultrasound,2024-11-07,2025-02-11,Met standards.
,North York Ultrasound,4025 Yonge Street,Suite 215,North York,ON,M2P2E3,416-229-6887,Clearview Diagnostic Imaging Inc. ," General Ultrasound, Vascular Ultrasound",2024-10-09,2025-01-07,Met standards.
,Hitek Medical Imaging,4789 Yonge Street,Suite 210,North York,ON,M2N0G3,647-346-9002,Hitek Medical Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-12-06,2024-04-25,Met standards.
,Hitek Medical Imaging,6464 Yonge Street,Unit 101A,North York,ON,M2M3X4,416-222-6989,Hitek Medical Imaging Inc. , Mammography,2025-04-17,2025-07-21,Met standards.
,Bathurst-Sheppard Diagnostic Imaging Centre,4430 Bathurst Street,Suite 207,North York,ON,M3H3S3,416-226-6941,TBA Diagnostic Imaging Services Inc. ," General Ultrasound, Vascular Ultrasound, Bone Mineral DXA",2025-06-10,2025-09-15,Met standards.
,North York Diagnostic and Cardiac Centre,250 Marlee Avenue,,North York,ON,M6B3H7,416-783-0000,2352767 Ontario Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-02-21,2025-05-08,Met standards.
,North York Diagnostic and Cardiac Centre,250 Marlee Avenue,,North York,ON,M6B3H7,416-783-0000,2352767 Ontario Inc. ," General Ultrasound, Radiography",2025-01-30,2025-05-08,Met standards.
,WELL Health Diagnostic Centres,4949 Bathurst Street,Suite 100,North York,ON,M2R1Y1,416-223-5460,MyHealth Partners Inc. ," Mammography, Radiography, General Ultrasound, Bone Mineral DXA",2025-01-09,2025-02-18,Met standards.
,Centre for Sleep and Chronobiology Inc.,1054 Wilson Avenue,,North York,ON,M3K1G6,416-746-3012,Centre for Sleep and Chronobiology Inc. , Sleep Studies,2025-02-11,2025-05-20,Met standards.
,Hitek Medical Imaging,4800 Leslie Street,Lower Level,North York,ON,M2J2K9,416-493-1011,Hitek Medical Imaging Inc. , Mammography,2025-04-17,2025-07-08,Met standards.
,Hitek Medical Imaging,6464 Yonge Street,Unit 101A,North York,ON,M2M3X4,416-222-6989,Hitek Medical Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2025-04-17,2025-07-21,Met standards.
,Hitek Medical Imaging,4800 Leslie Street,Lower Level,North York,ON,M2J2K9,416-493-1011,Hitek Medical Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2025-04-17,2025-07-21,Met standards.
,Bathurst Medical Centre X-Ray & Ultrasound,4256 Bathurst Street,Suite 104,North York,ON,M3H5Y8,416-997-6170,WNR Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-05-01,2025-07-30,Met standards.
,Dr. Kranemann Medicine Professional Corporation,4100 Yonge Street,Suite 110B,North York,ON,M2P2B7,416-289-4000,Dr. Kranemann Medicine Professional Corporation , Ophthalmic Ultrasound,2025-05-20,2025-09-19,Met standards.
,Rajinder Rathee Medicine Professional Corporation,18 Wynford Drive,Suite 108,North York,ON,M3C3S2,416-494-7455,Rajinder Rathee Medicine Professional Corporation , Ophthalmic Ultrasound,2025-06-06,2025-09-12,Met standards with some recommendations made for improvement.
,North York Sleep & Diagnostic Centre Inc.,2 Champagne Drive,Unit B15,North York,ON,M3J2C5,416-642-4232,North York Sleep & Diagnostic Centre Inc. , Sleep Studies,2025-06-06,2025-10-09,Met standards.
,ONTARIO IMAGING DIAGNOSTIC - Wynford,20 Wynford Drive,Suite 312,North York,ON,M3C1J4,416-443-2626,1000876099 Ontario Inc. ," Radiography, General Ultrasound",2025-06-21,2025-06-21,Facility has not been assessed during current ownership.
,Humber Diagnostic Center,1017 Wilson Avenue,Suite 100,North York,ON,M3K1Z1,613-631-7581,1000980102 Ontario Inc. , Bone Mineral DXA,2024-10-31,2024-10-31,Facility has not been assessed during current ownership.
,Humber Diagnostic Centre,1017 Wilson Avenue,Suite 100,North York,ON,M3K1Z1,416-631-7581,1000980102 Ontario Inc. ," Radiography, General Ultrasound",2025-10-01,2025-10-01,Facility has not been assessed during current ownership.
,Lighthouse Medical Imaging - Fairview,5 Fairview Mall Drive,Suite 105,North York,ON,M2J2Z1,416-499-3559,GTA East Medical Imaging Corp. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-09-10,2026-04-10,Met standards.
,Toronto Cardiac Diagnostics Inc.,18 Wynford Drive,Suite 511,North York,ON,M3C3S2,416-691-3111,Toronto Cardiac Diagnostics Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-07-31,2025-10-14,Met standards.
,CCMSU Medical Imaging,240 Duncan Mill Road,Suite 804,North York,ON,M3B3S6,416-391-5778,1405067 Ontario Inc. ," General Ultrasound, Vascular Ultrasound",2025-07-03,2025-09-15,Met standards.
,CCMSU Medical Imaging,240 Duncan Mill Road,Suite 804,North York,ON,M3B3S6,416-391-5778,1405067 Ontario Inc. , Radiography,2025-07-03,2025-09-17,Met standards.
,York Finch Eye Associates,2115 Finch Avenue West,Suite 316,North York,ON,M3N2V6,416-745-6969,Steve A Arshinoff Medicine Professional Corporation , Ophthalmic Ultrasound,2025-03-01,2025-03-01,Facility has not been assessed during current ownership.
,Bathurst-Sheppard Diagnostic Imaging Centre,4430 Bathurst Street,Suite 207,North York,ON,M3H3S3,416-226-6941,TBA Diagnostic Imaging Services Inc. , Radiography,2025-06-10,2025-09-15,Met standards.
,Jane Wilson Imaging Centre,2141 Jane Street,Lower Level,North York,ON,M3M1A2,416-245-4111,Jane Wilson Imaging Centre Inc. ," Fluoroscopy, Radiography, General Ultrasound",2025-10-07,2026-01-20,Met standards.
,PDS Diagnostic Imaging,2 Champagne Drive,Unit B23,North York,ON,M3J2C5,416-741-2766,Specialty Medical Partners (HVI) Inc. ," Radiography, Mammography, Bone Mineral DXA, Vascular Ultrasound",2025-04-24,2025-04-24,Facility has not been assessed during current ownership.
,Tripod Fertility,2225 Sheppard Avenue East,Suite 901,North York,ON,M2J5C2,905-201-3420,Tripod Medical Inc. , Obs/Gyn Ultrasound,2025-11-26,2026-02-17,Met standards.
,True North Imaging - The Board Walk,36 York Mills Road,Suite 100,North York,ON,M2P2E9,416-229-6887,Clearview Diagnostic Imaging Inc. , General Ultrasound,2026-02-24,2026-04-10,Met standards.
,KMH Cardiology Centres Inc.,1310 Don Mills Road,Unit 5,North York,ON,M3B2W6,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2026-02-23,2026-04-10,Met standards.
,Downsview X-Ray and Ultrasound,1056 Wilson Avenue,Unit 105,North York,ON,M3K1G6,416-633-6619,1001036091 Ontario Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound",2025-12-18,2025-12-18,Facility has not been assessed during current ownership.
,PDS Diagnostic Imaging,2 Champagne Drive,Unit B23,North York,ON,M3J2C5,416-741-2766,Specialty Medical Partners (HVI) Inc. ," General Ultrasound, Radiography",2026-03-17,2026-03-17,Facility has not been assessed during current ownership.
,Wentworth-Halton X-Ray and Ultrasound Inc.,2525 Old Bronte Road,Suite 140,Oakville,ON,L6M4J2,905-469-2524,Wentworth-Halton X-Ray and Ultrasound Inc. ," Mobile General Ultrasound, Mobile Vascular Ultrasound",2021-11-11,2022-06-02,Met standards.
,Ontario Diagnostic Centre (ODC) - Oakville,2315 Bristol Circle,,Oakville,ON,L6H6P8,905-287-2038,8831335 Canada Inc. ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-04-13,2023-06-21,Met standards.
,Prism Eye Institute Inc.,2201 Bristol Circle,Unit 101,Oakville,ON,L6H0J8,905-456-3937,Prism Eye Institute Inc. , Ophthalmic Ultrasound,2023-02-17,2023-04-14,Met standards.
,True North Imaging - Oakville,2035 Cornwall Road,,Oakville,ON,L6J7S2,905-707-1777,Clearview Diagnostic Imaging Inc. , General Ultrasound,2023-10-17,2023-12-07,Met standards.
,Bronte Vascular Ultrasound,2525 Old Bronte Road,Suite 310,Oakville,ON,L6M4J2,905-901-5252,1000748207 Ontario Inc. ," Vascular Ultrasound, General Ultrasound",2024-02-21,2024-02-21,Facility has not been assessed during current ownership.
,Hospital Gate X-Ray & Ultrasound,3075 Hospital Gate,Suite 208,Oakville,ON,L6M1M1,905-825-8545,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2024-10-24,2025-01-21,Met standards.
,Trafalgar X-Ray and Ultrasound,1235 Trafalgar Road,Suite B4,Oakville,ON,L6H3P1,905-845-0014,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-10-24,2025-01-28,Met standards.
,One Vascular Imaging - Oakville,1405 Cornwall Road,Unit A 1-2,Oakville,ON,L6J7T5,905-815-0999,One Vascular Corp. ," Vascular Ultrasound, General Ultrasound",2024-10-30,2025-01-09,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,"1060 Speers Road, Suite 111",Oakville Health Centre,Oakville,ON,L6L2X4,905-844-0181,Wentworth-Halton X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-08-19,2025-10-09,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,2525 Old Bronte Road,Suite 140,Oakville,ON,L6M4J2,905-469-2524,Wentworth-Halton X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2025-01-31,2025-05-28,Met standards.
,"Peak Sleep, Oakville",420 North Service Road East,Unit 1,Oakville,ON,L6H5R2,905-338-3331,2598407 Ontario Inc. , Sleep Studies,2026-01-12,2026-04-10,Met standards.
,Delta Scan Medical Imaging Inc.,1158 Winston Churchill Boulevard,,Oakville,ON,L6J0A3,647-860-3272,Delta Scan Medical Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2025-04-16,2025-04-16,Facility has not been assessed during current ownership.
,Heart and Vascular Centre of Excellence,1235 Trafalgar Road,Suite B1,Oakville,ON,L6H3P1,289-529-0395,Heart and Vascular Centre of Excellence Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2026-04-23,2026-04-23,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network,4270 Innes Road,,Orleans,ON,K4A5E6,613-824-3252,Canadian Medical Licences Inc. , General Ultrasound,2016-03-15,2016-06-13,Met standards.
,Premier Imaging Inc.,4289 Innes Road,,Orleans,ON,K1E0A8,613-686-1904,Premier Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-04-21,2023-06-14,Met standards.
,Ottawa Cardiovascular Centre - Orleans,5929 Jeanne D'Arc Boulevard South,Unit 24,Orleans,ON,K1C6V8,613-749-5421,Specialty Medical Partners (Ottawa) Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-02-10,2023-02-10,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network,1220 Promenade Place D'Orleans,Suite 103,Orleans,ON,K1C7K3,613-824-3252,Canadian Diagnostic Network East Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2025-10-24,2026-02-04,Met standards.
,Canadian Diagnostic Network East Inc.,2003 St. Joseph Boulevard,,Orleans,ON,K1C1E5,613-824-3252,Canadian Diagnostic Network East Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-02-14,2025-05-15,Met standards.
,True North Imaging - Oshawa,419 King Street West,Suite 115,Oshawa,ON,L1J2K5,905-707-1777,Clearview Diagnostic Imaging Inc. , Obs/Gyn Ultrasound,2016-12-15,2016-12-15,Facility has not been assessed during current ownership.
,Oshawa Advanced Imaging,115 Simcoe Street South,,Oshawa,ON,L1H4G7, ,Oshawa Advanced Imaging Inc. , General Ultrasound,2020-04-30,2020-04-30,Facility has not been assessed during current ownership.
,Oshawa Ultrasound Diagnostic Services,550 Bond Street West,,Oshawa,ON,L1J0E4,905-576-2622,1000005758 Ontario Inc. , General Ultrasound,2023-11-16,2024-02-09,Met standards.
,WELL Health Diagnostic Centres,300 King Street West,Suite 201,Oshawa,ON,L1J2K1,905-723-3110,MyHealth Partners Inc. ," Bone Mineral DXA, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-09-12,2023-12-08,Met standards.
,King Street X-Ray & Ultrasound,1290 Keith Ross Court,,Oshawa,ON,L1H7K4,905-721-3588,Levine Myers Medicine Professional Corporation ," Radiography, General Ultrasound, Vascular Ultrasound",2023-11-16,2024-02-13,Met standards.
,Oshawa Vascular Laboratory and Ultrasound Imaging,247 Simcoe Street North,Suites 301 and 302,Oshawa,ON,L1G4T3,905-438-0555,2582124 Ontario Inc. ," General Ultrasound, Vascular Ultrasound",2024-10-17,2025-01-14,Met standards.
,Oshawa X-Ray and Ultrasound,11 Gibb Street,,Oshawa,ON,L1H2J9,905-579-1445,Impexxus Medical Imaging Inc. ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA, Mammography",2024-10-21,2025-02-25,Met standards.
,Oshawa-Durham Sleep Laboratory,292 King Street West,Unit 101,Oshawa,ON,L1J2J9,905-436-6163,Oshawa-Durham Sleep Laboratory Inc. , Sleep Studies,2024-11-05,2025-02-10,Met standards.
,Oshawa Diagnostic Imaging,247 Simcoe Street North,Suite 301,Oshawa,ON,L1G4T3,905-438-0555,2582124 Ontario Inc. , Radiography,2025-06-05,2026-02-03,Met standards with some recommendations made for improvement.
,GNMI X-Ray Ultrasound,1400 Ritson Road North,Suite 001,Oshawa,ON,L1G7W4,905-579-1208,Greater Niagara Medical Imaging Inc. ," Radiography, General Ultrasound",2024-09-23,2024-09-23,Facility has not been assessed during current ownership.
,Dr. M. Mikhail Medicine Professional Corporation,149 King Street West,,Oshawa,ON,L1J2J3,905-434-2669,Dr. M. Mikhail Medicine Professional Corporation , Ophthalmic Ultrasound,2025-09-26,2026-02-02,Met standards.
,Canadian Medical Licences Inc.,550 Terminal Avenue,,Ottawa,ON,K1G0Z3,613-824-3252,Canadian Medical Licences Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2016-11-24,2018-03-19,Licensee has indicated that all recommendations have been addressed.
,Canadian Diagnostic Network,1545 Carling Avenue,,Ottawa,ON,K1Z8P9,613-824-3252,Canadian Medical Licences Inc. ," Radiography, General Ultrasound",2014-06-02,2014-06-02,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network,100 Queen Street,,Ottawa,ON,K1P1A5,613-824-3252,Canadian Medical Licences Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2014-06-28,2014-06-28,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network,1081 Carling Avenue,,Ottawa,ON,K1Y4G2,613-824-3252,Canadian Medical Licences Inc. ," Radiography, General Ultrasound",2014-06-28,2014-06-28,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network,380 Hunt Club Road,Unit 103,Ottawa,ON,K1V1C1,613-824-3252,Canadian Diagnostic Network West Inc. ," Radiography, General Ultrasound",2021-03-03,2021-05-04,Met standards.
,Bank Respiratory Services,1385 Bank Street,Suite 515,Ottawa,ON,K1H8N4,613-523-4444,Dr. Omar Kify Medicine Professional Corporation ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function - Other Fee Codes, Pulmonary Function C - Escalated Testing",2022-05-28,2022-08-18,Met standards.
,Focus Medical Ancillary Inc.,1105 Carling Avenue,,Ottawa,ON,K1Y4G5,613-226-2801,Dr. Frank E. Bastianelli , Ophthalmic Ultrasound,2022-05-04,2022-06-29,Met standards.
,Women's Ultrasound Centre,1355 Bank Street,Suites 203 and 205,Ottawa,ON,K1H8K7,613-913-0494,MR Imaging Corp , Obs/Gyn Ultrasound,2022-05-30,2022-09-01,Met standards.
,Canadian Medical Licences Inc.,770 Broadview Avenue,Suite B2,Ottawa,ON,K2A3Z3,613-824-3252,Canadian Medical Licences Inc. , Radiography,2022-11-03,2023-01-19,Met standards.
,Ottawa Fertility Centre,955 Green Valley Crescent,Unit 100,Ottawa,ON,K2C3V4,613-686-3378,The Ottawa Fertility Centre Inc. , Obs/Gyn Ultrasound,2022-11-18,2023-01-26,Met standards.
,Ottawa Eye Clinic,680 Montreal Road,,Ottawa,ON,K1K0T3,613-558-5581,Dr. Steven Poleski , Ophthalmic Ultrasound,2022-11-21,2023-01-12,Met standards.
,Merivale-Hunt Club,1145 Hunt Club Road,Suite 550,Ottawa,ON,K1V0Y3,613-727-1072,Merivale Medical Imaging Inc. ," General Ultrasound, Vascular Ultrasound",2023-04-03,2023-05-08,Met standards.
,iCare Surgical Centre,2148 Carling Avenue,Suite 205,Ottawa,ON,K2A1H1,613-596-0300,Bhatti Medicine Professional Corporation , Ophthalmic Ultrasound,2023-04-25,2023-05-16,Met standards.
,The Ottawa Cardiovascular Centre,1355 Bank Street,Suite 502,Ottawa,ON,K1H8K7,613-738-1584,Specialty Medical Partners (Ottawa) Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-02-10,2023-02-10,Facility has not been assessed during current ownership.
,Dr. Peter Agapitos,1919 Riverside Drive,Suite 209,Ottawa,ON,K1H1A2,613-236-9929,Dr. Peter Agapitos , Ophthalmic Ultrasound,2023-11-06,2024-01-24,Met standards.
,Sound Diagnosis,1919 Riverside Drive,Suite 212,Ottawa,ON,K1H1A2,416-839-0383,1001299977 Ontario Inc. , Obs/Gyn Ultrasound,2024-02-26,2024-04-19,Met standards.
,iCare Surgical Centre,2148 Carling Avenue,Unit 205,Ottawa,ON,K2A1H1,613-596-0300,Dr. Adil Bhatti , Ophthalmic Ultrasound,2025-08-26,2025-10-17,Met standards.
,Merivale Medical Imaging - Hunt Club,1145 Hunt Club Road,Unit 550,Ottawa,ON,K1V0Y3,613-727-1072,Merivale Medical Imaging Inc. ," Radiography, Urologic Ultrasound",2022-09-09,2022-09-09,Facility has not been assessed during current ownership.
,Precision Cornea Centre Inc.,1730 St. Laurent Boulevard,Suite 100,Ottawa,ON,K1G5L1,613-746-2244,Precision Cornea Centre Inc. , Ophthalmic Ultrasound,2024-10-29,2025-03-18,Met standards.
,Canadian Diagnostic Network,168 Charlotte Street,,Ottawa,ON,K1N8K6,613-824-3252,Canadian Diagnostic Network North Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2024-12-06,2025-05-08,Met standards.
