Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRDK202501630,Deck/Sunroom,2025-07-07 00:00:00,Residential,New,10000,0,0,,"3153 GREEN STONE ROAD, REGINA, SK S4V3R8",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501578,Garage/Carport,2025-07-07 00:00:00,Residential,Garage/Carport/Accessory Structure,35000,0,0,,"10 BASIN CRESCENT, REGINA, SK S4R7T1",Address,Uplands,IGGY'S RENOS & REPAIRS,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501746,Garage/Carport,2025-07-07 00:00:00,Residential,Garage/Carport/Accessory Structure,21000,0,0,,"2905 NARCISSE DRIVE, REGINA, SK S4X0M6",Address,Hawkstone,NORTH RIDGE DEVELOPMENT CORPORATION,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRRN202501519,Renovation/Alteration,2025-07-07 00:00:00,Commercial,Alteration and improvements,900000,0,0,,"2965 GORDON ROAD, REGINA, SK S4S6H7",Address,Albert Park,SBLP SOUTHLAND MALL INC.,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance company, bank, taxi stand, office/cafeteria, office/smoke shop"
PRRN202501568,Renovation/Alteration,2025-07-07 00:00:00,Commercial,Alteration and improvements,160000,0,1,,"365 HOFFER DRIVE, REGINA, SK S4N6E2",Address,Industrial Ross,504 LAKE INVESTMENTS LTD. | LUXERMAN HOLDINGS LIMITED | ROBB HOLDINGS LTD. | ROCOM MANAGEMENT LTD. | WOLMAN PROPERTIES LTD.,Property Owner,"460-Storage building; warehouse (for storage purposes only), industrial mall, grain elevator, locker rental, silo, quonset, refrigerated storage terminal"
PRRN202501669,Renovation/Alteration,2025-07-07 00:00:00,Residential,Alteration and improvements,15500,0,0,,"469 TORONTO STREET, REGINA, SK S4R1M5",Address,North Annex,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501733,Renovation/Alteration,2025-07-07 00:00:00,Residential,Alteration and improvements,3500,0,0,,"192 N SMITH STREET, REGINA, SK S4S3B4",Address,Cityview,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501524,Single/Semi-Detached Dwelling 1-2 units,2025-07-07 00:00:00,Residential,New construction,260000,1,1,,"1220 ATKINSON STREET, REGINA, SK S4N3V6",Address,Eastern Annex,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501642,Secondary Suite,2025-07-07 00:00:00,Residential,Addition to existing building commercial & residential,50000,1,0,,"3877 GOLDFINCH WAY, REGINA, SK S4V1S3",Address,The Creeks,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501489,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:44 ROW C, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501579,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:7 ROW C, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501600,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:45 ROW B, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501720,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:6 ROW D, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501745,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:30 ROW C, REGINA, SK S4N0M6",Address,Glencairn,REDACTED,Property Owner,130-Mobile Home
PRDE202501786,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:52 ROW B, REGINA, SK S4N0M6",Address,Glencairn,GLEN ELM PROPERTIES LTD.,Property Owner,130-Mobile Home
PRDE202501798,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:36 ROW C, REGINA, SK S4N0M6",Address,Glencairn,REDACTED,Property Owner,130-Mobile Home
PRDE202501799,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:37 ROW B, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501800,Demolition,2025-07-08 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:38 ROW B, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRFR202501824,Foundation Repair,2025-07-08 00:00:00,Residential,Alteration and improvements,4500,0,0,,"3506 WASCANA STREET, REGINA, SK S4S2H3",Address,Lakeview South,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501827,Foundation Repair,2025-07-08 00:00:00,Residential,Alteration and improvements,7000,0,0,,"1703 ROYAL STREET, REGINA, SK S4T5A8",Address,Cpr Annex,GCA CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRPO202500587,Pool,2025-07-08 00:00:00,Residential,Swimming pool,100000,0,0,,"5509 BLAKE CRESCENT, REGINA, SK S4X0G5",Address,Lakeridge Addition,BACKYARD LEISURE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501259,Renovation/Alteration,2025-07-08 00:00:00,Residential,Alteration and improvements,3500,0,0,,"4849 FERNDALE CRESCENT, REGINA, SK S4V4A3",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501740,Renovation/Alteration,2025-07-08 00:00:00,Residential,Alteration and improvements,10000,0,0,,"4815 8TH AVENUE, REGINA, SK S4T0W1",Address,Belvedere,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501443,Single/Semi-Detached Dwelling 1-2 units,2025-07-08 00:00:00,Residential,New construction,250000,1,2,,"3128 COPELAND ROAD, REGINA, SK S4V3R9",Address,The Towns,CRAWFORD HOMES (1991) LTD. | CRAWFORD HOMES - ANGELA KRAMMER,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501805,Demolition,2025-07-09 00:00:00,Commercial,Demolition,0,0,0,,"3005 5TH AVENUE, REGINA, SK S4T0L6",Address,Old 33,REDACTED,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRDK202501790,Deck/Sunroom,2025-07-09 00:00:00,Residential,New,14000,0,0,,"3203 E THAMES CRESCENT, REGINA, SK S4V2W8",Address,Windsor Park,DK PRIME CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501836,Deck/Sunroom,2025-07-09 00:00:00,Residential,New,4000,0,0,,"4709 E MUTRIE CRESCENT, REGINA, SK S4V3X8",Address,The Towns,REDACTED,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRFR202501676,Foundation Repair,2025-07-09 00:00:00,Residential,Alteration and improvements,60000,0,0,,"2109 EMBURY STREET, REGINA, SK S4N2L8",Address,Broders Annex,RSR CONSTRUCTION - TERRY PAUN,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501281,Garage/Carport,2025-07-09 00:00:00,Residential,Garage/Carport/Accessory Structure,43790,0,0,,"2757 MCDONALD STREET, REGINA, SK S4N2Z9",Address,Assiniboia  Place,S. MILLER CONSTRUCTION SHANE MILLER,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501658,Garage/Carport,2025-07-09 00:00:00,Residential,Garage/Carport/Accessory Structure,16000,0,0,,"53 BOBOLINK BAY, REGINA, SK S4S4K2",Address,Whitmore Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMH202500941,Plumbing,2025-07-09 00:00:00,Residential,Mechanical,500,0,0,,"2985 BELLEGARDE CRESCENT, REGINA, SK S4V3W4",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRPO202501877,Pool,2025-07-09 00:00:00,Residential,Swimming pool,200,0,0,,"719 N WOROBETZ CRESCENT, REGINA, SK S4X2C4",Address,Sherwood Estates,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501817,Renovation/Alteration,2025-07-09 00:00:00,Residential,Alteration and improvements,79490.3,0,0,,"1737 MUSTARD STREET, REGINA, SK S4Y0G1",Address,Westerra,FIRST ON SITE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501741,Secondary Suite,2025-07-09 00:00:00,Residential,Addition to existing building commercial & residential,22300,1,0,,3109 GREEN TURTLE ROAD,Address,The Towns,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501750,Secondary Suite,2025-07-09 00:00:00,Residential,Alteration and improvements,50000,1,0,,"4681 E MUTRIE CRESCENT, REGINA, SK S4V3Y3",Address,The Towns,GREEN STONE RENOVATIONS LTD,Contractor,"210-Semi-Detached or Double House, single attached home"
PRBS202501781,Basement Development,2025-07-10 00:00:00,Residential,Alteration and improvements,30000,0,0,,"5629 MCCAUGHEY STREET, REGINA, SK S4W0P3",Address,Harbour Landing,FIRST CALL CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501855,Basement Development,2025-07-10 00:00:00,Residential,Alteration and improvements,25000,0,0,,"282 N MONTREAL STREET, REGINA, SK S4R2S9",Address,North Annex,GRID ROAD RENOVATIONS - PATRICK,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501174,Demolition,2025-07-10 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:15 ROW E, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501806,Demolition,2025-07-10 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:40 ROW C, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501819,Demolition,2025-07-10 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:1 ROW E, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501211,Deck/Sunroom,2025-07-10 00:00:00,Residential,Alteration and improvements,2700,0,0,,"4612 8TH AVENUE, REGINA, SK S4T0V5",Address,Belvedere,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501517,Deck/Sunroom,2025-07-10 00:00:00,Residential,Alteration and improvements,8000,0,0,,"5222 SQUIRES ROAD, REGINA, SK S4W0G8",Address,Harbour Landing,FOUR SEASONS CONSTRUCTION AND RENOVATIONS INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501768,Deck/Sunroom,2025-07-10 00:00:00,Residential,Alteration and improvements,10000,0,0,,"3001 BELLEGARDE CRESCENT, REGINA, SK S4V3W3",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501862,Foundation Repair,2025-07-10 00:00:00,Residential,Alteration and improvements,8055,0,0,,"122 LLOYD CRESCENT, REGINA, SK S4R6C1",Address,Parkview,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501894,Foundation Repair,2025-07-10 00:00:00,Residential,Alteration and improvements,15000,0,0,,"350 ROBINSON STREET, REGINA, SK S4R3R2",Address,Coronation Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501463,Garage/Carport,2025-07-10 00:00:00,Residential,Garage/Carport/Accessory Structure,33000,0,0,,"2501 PARK STREET, REGINA, SK S4N2H2",Address,Dominion Heights,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRNR202500496,New Commercial,2025-07-10 00:00:00,Commercial,Superstructure or part of new building,15500000,0,3,,"2100 15TH AVENUE, REGINA, SK S4P0Z9",Address,Old 33,WESTRIDGE HOMES LTD,Contractor,"650-Day care, nursing home, rest home, home for the blind, charitable home, detoxification center"
PRRN202501418,Renovation/Alteration,2025-07-10 00:00:00,Commercial,Alteration and improvements,70000,0,6,,"4555 RAE STREET, Unit:207, REGINA, SK S4S3B2",Address,Albert Park,GREEN LADDER BUILDING CORP.,Contractor,315-Apartment - Condominium
PRRN202501419,Renovation/Alteration,2025-07-10 00:00:00,Commercial,Alteration and improvements,70000,0,6,,"4555 RAE STREET, Unit:107, REGINA, SK S4S3B2",Address,Albert Park,GREEN LADDER BUILDING CORP.,Contractor,315-Apartment - Condominium
PRRN202501666,Renovation/Alteration,2025-07-10 00:00:00,Commercial,Alteration and improvements,150000,0,1,,3751 CHUKA BOULEVARD,Address,The Greens on Gardiner,ACRE 21 DEVELOPMENT CORP.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202501696,Renovation/Alteration,2025-07-10 00:00:00,Commercial,Alteration and improvements,703821,0,0,,"1140 MCINTOSH STREET, REGINA, SK S4T5B9",Address,Rosemont South,LYDALE CONSTRUCTION - MIKE,Contractor,315-Apartment - Condominium
PRRN202501812,Renovation/Alteration,2025-07-10 00:00:00,Residential,Alteration and improvements,500,0,0,,"38 MERLIN CRESCENT, REGINA, SK S4R3E2",Address,Coronation Park N.,CARTHAGO RENOVATIONS INC,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202500809,Single/Semi-Detached Dwelling 1-2 units,2025-07-10 00:00:00,Residential,New construction,800000,1,2,,"321 19TH AVENUE, REGINA, SK S4N1G9",Address,Arnhem Place,ALAIR HOMES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501521,Single/Semi-Detached Dwelling 1-2 units,2025-07-10 00:00:00,Residential,New construction,1200000,1,1,,"4325 BULRUSH WAY, REGINA, SK S4V3L4",Address,The Creeks,VARSITY HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501738,Secondary Suite,2025-07-10 00:00:00,Residential,Alteration and improvements,65000,1,0,,"3053 GREEN STONE ROAD, REGINA, SK S4V3Z2",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501575,Demolition,2025-07-11 00:00:00,Residential,Demolition,5000,0,0,,"4046 ARGYLE STREET, REGINA, SK S4S3L6",Address,Parliament Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501861,Deck/Sunroom,2025-07-11 00:00:00,Residential,Alteration and improvements,10000,0,0,,"3270 VALLEY GREEN WAY, REGINA, SK S4V3R1",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501829,Foundation Repair,2025-07-11 00:00:00,Residential,Alteration and improvements,18900,0,0,,"8 DERBY STREET, REGINA, SK S4R4E8",Address,Coronation Park N.,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501914,Foundation Repair,2025-07-11 00:00:00,Residential,Alteration and improvements,4000,0,0,,"109 LOGAN CRESCENT, REGINA, SK S4S5P7",Address,Whitmore Park,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501616,Renovation/Alteration,2025-07-11 00:00:00,Commercial,Alteration and improvements,300000,1,1,,"1600 4TH AVENUE, REGINA, SK S4R8G8",Address,Industrial Park,BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN,Property Owner,"460-Storage building; warehouse (for storage purposes only), industrial mall, grain elevator, locker rental, silo, quonset, refrigerated storage terminal"
PRSF202501212,Single/Semi-Detached Dwelling 1-2 units,2025-07-11 00:00:00,Residential,New construction,480200,1,2,,3156 GREEN TURTLE ROAD,Address,The Towns,HOMES BY DREAM,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501599,Single/Semi-Detached Dwelling 1-2 units,2025-07-11 00:00:00,Residential,New construction,567700,1,2,,3158 BOWEN STREET,Address,The Towns,HOMES BY DREAM,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501743,Single/Semi-Detached Dwelling 1-2 units,2025-07-11 00:00:00,Residential,New construction,313275,1,2,,3148 GREEN TURTLE ROAD,Address,The Towns,DREAM TOWNS LANDS SOUTH (GP) INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501737,Secondary Suite,2025-07-11 00:00:00,Residential,Addition to existing building commercial & residential,85000,1,0,,"5657 GLIDE CRESCENT, REGINA, SK S4W0P2",Address,Harbour Landing,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501554,Renovation/Alteration,2025-07-13 00:00:00,Commercial,Alteration and improvements,60000,0,1,,"1280 CAMERON STREET, REGINA, SK S4T2T1",Address,Old 33,R.C.C.G. AMAZING GRACE PARISH INCORPORATED,Property Owner,"660-Religious building; church, cathedral, temple, citadel, synagogue"
PRDE202500668,Demolition,2025-07-14 00:00:00,Commercial,Demolition,0,0,0,,"1431 15TH AVENUE, REGINA, SK S4P0Z2",Address,Old 33,HERITAGE HOME LAND DEVELOPMENTS LTD.,Property Owner,n/a
PRDE202501883,Demolition,2025-07-14 00:00:00,Residential,Demolition,4000,0,0,,"834 SCHWARZFELD PLACE, REGINA, SK S4N7G6",Address,Parkridge,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501349,Foundation Repair,2025-07-14 00:00:00,Residential,Alteration and improvements,3000,0,0,,"2009 DUFFERIN ROAD, REGINA, SK S4S5B2",Address,Whitmore Park,RSR CONSTRUCTION - TERRY PAUN,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501834,Foundation Repair,2025-07-14 00:00:00,Residential,Alteration and improvements,76300,0,0,,"254 N MCINTOSH STREET, REGINA, SK S4R4Z9",Address,Normanview,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501654,Garage/Carport,2025-07-14 00:00:00,Residential,Garage/Carport/Accessory Structure,25000,0,0,,"30 COLDWELL ROAD, REGINA, SK S4R4K2",Address,Regent Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501742,Garage/Carport,2025-07-14 00:00:00,Residential,Garage/Carport/Accessory Structure,20000,0,0,,"3402 GREEN TURTLE ROAD, REGINA, SK S4V3N7",Address,The Greens on Gardiner,REDACTED,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRPO202501466,Pool,2025-07-14 00:00:00,Residential,Swimming pool,14000,0,0,,"672 ABERDEEN CRESCENT, REGINA, SK S4T6A9",Address,Rosemont North,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501513,Renovation/Alteration,2025-07-14 00:00:00,Commercial,Alteration and improvements,150000,0,0,,"2445 ALBERT STREET, REGINA, SK S4P4W7",Address,Wascana Park,SASKATCHEWAN PROPERTY MANAGEMENT CORPORATION,Property Owner,"550-Theatre and performing art center; movie theatre, concert hall, opera house, cultural center"
PRSF202501651,Single/Semi-Detached Dwelling 1-2 units,2025-07-14 00:00:00,Residential,New construction,250000,2,2,,"4817 E KELLER AVENUE, REGINA, SK S4V3S6",Address,The Towns,CRAWFORD HOMES (EBUILD),Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501854,Single/Semi-Detached Dwelling 1-2 units,2025-07-14 00:00:00,Residential,New construction,750000,3,2,,"8608 WHEAT CRESCENT, REGINA, SK S4Y0H3 | 8610 WHEAT CRESCENT, REGINA, SK S4Y0H3",Address,Westerra,COLBY KIRKPATRICK - PACESETTER HOMES,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSS202501496,Secondary Suite,2025-07-14 00:00:00,Residential,Addition to existing building commercial & residential,45000,1,0,,"2920 GEORGE STREET, REGINA, SK S4V3W1",Address,The Towns,REDACTED,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRSS202501726,Secondary Suite,2025-07-14 00:00:00,Residential,Addition to existing building commercial & residential,50000,1,0,,"3334 GREEN STONE ROAD, REGINA, SK S4V3K3",Address,The Greens on Gardiner,GREEN STONE RENOVATIONS LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501791,Secondary Suite,2025-07-14 00:00:00,Residential,Alteration and improvements,50000,1,0,,"4865 FERNDALE CRESCENT, REGINA, SK S4V4A3",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501793,Basement Development,2025-07-15 00:00:00,Residential,Alteration and improvements,30000,0,0,,"2909 ROCHDALE BOULEVARD, REGINA, SK S4X0N1",Address,Hawkstone,FIRST CALL CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501906,Basement Development,2025-07-15 00:00:00,Residential,Alteration and improvements,44000,0,0,,3601 GREEN MARSH CRESCENT,Address,The Greens on Gardiner,NORTH RIDGE DEVELOPMENT CORPORATION,Contractor,"210-Semi-Detached or Double House, single attached home"
PRDE202501564,Demolition,2025-07-15 00:00:00,Residential,Demolition,8500,0,0,,"1207 ROBINSON STREET, REGINA, SK S4T2N3",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501871,Demolition,2025-07-15 00:00:00,Residential,Demolition,0,0,0,,"1117 ROBINSON STREET, REGINA, SK S4T2N1",Address,Old 33,ACTION EXCAVATING  - JASON SMALE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501875,Demolition,2025-07-15 00:00:00,Residential,Demolition,26300,0,0,1,"750 PRINCESS STREET, REGINA, SK S4T3X7",Address,Parkdale,CITY OF REGINA,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501913,Deck/Sunroom,2025-07-15 00:00:00,Residential,Alteration and improvements,10000,0,0,,"4054 E CRANBERRY PLACE, REGINA, SK S4V3V4",Address,The Creeks,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMH202501981,Plumbing,2025-07-15 00:00:00,Residential,Mechanical,8000,0,0,,"3809 LAKEVIEW AVENUE, REGINA, SK S4S1H3",Address,Lakeview South,MR. ROOTER PLUMBING,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501274,Renovation/Alteration,2025-07-15 00:00:00,Commercial,Alteration and improvements,10000,0,1,,"2333 E VICTORIA AVENUE, REGINA, SK S4N1K5",Address,Glen Elm Park,PINNACLE DEVELOPMENTS INC.,Property Owner,"510-Retail and wholesale outlets; retail outlet, department store, photographic studio, rental service, beauty salon, hairdressing salon, lumber yard, dry cleaner, laundromat"
PRRN202501681,Renovation/Alteration,2025-07-15 00:00:00,Commercial,Alteration and improvements,7000,0,0,,"4715 MCTAVISH STREET, REGINA, SK S4S6H2",Address,Albert Park,POSITIVE ELECTRIC - DMITRY MARKMAN,Contractor,"660-Religious building; church, cathedral, temple, citadel, synagogue"
PRSS202501487,Secondary Suite,2025-07-15 00:00:00,Residential,Alteration and improvements,50000,1,0,,"37 CECIL CRESCENT, REGINA, SK S4T5Y6",Address,Coventry Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501680,Basement Development,2025-07-16 00:00:00,Residential,Alteration and improvements,35000,0,0,,"2917 BELLEGARDE CRESCENT, REGINA, SK S4V3X7",Address,The Towns,KRATZ DEVELOPMENTS,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501916,Basement Development,2025-07-16 00:00:00,Residential,Alteration and improvements,30000,0,0,,"5201 E ARENS ROAD, Unit:25, REGINA, SK S4V4A8",Address,The Towns,REDACTED,Property Owner,335-Row House - Condominium
PRDK202501707,Deck/Sunroom,2025-07-16 00:00:00,Residential,Alteration and improvements,60000,0,0,,"3933 GREEN DIAMOND ROAD, REGINA, SK S4V3T1",Address,The Greens on Gardiner,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501917,Deck/Sunroom,2025-07-16 00:00:00,Residential,Alteration and improvements,13117.79,0,0,,"3256 E FAUL BAY, REGINA, SK S4V2W9",Address,Windsor Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501924,Foundation Repair,2025-07-16 00:00:00,Residential,Alteration and improvements,7340,0,0,,"749 ROYAL STREET, REGINA, SK S4T4Z3",Address,Transcona,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501926,Foundation Repair,2025-07-16 00:00:00,Residential,Alteration and improvements,6890,0,0,,"1333 VICTORIA AVENUE, REGINA, SK S4P0P2",Address,Old 33,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501927,Foundation Repair,2025-07-16 00:00:00,Residential,Alteration and improvements,59860,0,0,,"49 MCCORMICK CRESCENT, REGINA, SK S4T6J9",Address,Mount Royal,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501939,Foundation Repair,2025-07-16 00:00:00,Residential,Alteration and improvements,40000,0,0,,"3700 REGINA AVENUE, REGINA, SK S4S0H6",Address,Normandy Heights,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
